	name	substances	creator	curators	groups_count	group_all_count	groups	individuals_count	individuals	interventions_count	outputs_count	outputs_calculated_count	timecourses_count	results_count
76	Grattan2000	paracetamol	J B	J B	1	15	[{'count': 15, 'name': 'all'}]	0		5	86	56	7	93
100	Stillings2000	acetylsalicylic acid, salicylic acid, paracetamol	J B	M K, J B	1	16	[{'count': 16, 'name': 'all'}]	0		3	84	48	6	90
52	Sevilla-Tirado2003	paracetamol	J B	J B, M K	1	12	[{'count': 12, 'name': 'all'}]	0		5	85	40	5	90
3	Kupferschmidt1995	1-hydroxymidazolam, grapefruit juice, midazolam	Y D	Y D, M K	1	8	[{'count': 8, 'name': 'all'}]	0		4	79	43	8	87
57	Tsunoda1999	ketoconazole, midazolam	Y D	Y D, M K	1	9	[{'count': 9, 'name': 'all'}]	0		3	80	48	6	86
47	Sanaka2002	paracetamol	J B	M K, J B	1	5	[{'count': 5, 'name': 'all'}]	20	['individual20', 'individual19', 'individual18', 'individual17', 'individual16', 'individual15', 'individual14', 'individual13', 'individual12', 'individual11', 'individual10', 'individual9', 'individual8', 'individual7', 'individual6', 'individual5', 'individual4', 'individual3', 'individual2', 'individual1']	2	82	32	4	86
94	Prescott1981	antipyrine, paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	J B, M K	3	27	[{'count': 27, 'name': 'all'}, {'count': 15, 'name': 'patients'}, {'count': 12, 'name': 'volunteers'}]	0		2	78	48	6	84
106	Wynne1990	paracetamol glucuronide, paracetamol sulfate, paracetamol	J B	M K, J B	6	47	[{'count': 47, 'name': 'all'}, {'count': 19, 'name': 'young'}, {'count': 29, 'name': 'elderly'}, {'count': 19, 'name': 'fit young'}, {'count': 20, 'name': 'fit elderly'}, {'count': 9, 'name': 'frail elderly'}]	47	['EFR9.1', 'EFR8.1', 'EFR7.1', 'EFR6.1', 'EFR5.1', 'EFR4.1', 'EFR3.1', 'EFR2.1', 'EFR1.1', 'EF19.1', 'EF18.1', 'EF17.1', 'EF16.1', 'EF15.1', 'EF14.1', 'EF13.1', 'EF12.1', 'EF11.1', 'EF10.1', 'EF9.1', 'EF8.1', 'EF7.1', 'EF6.1', 'EF5.1', 'EF4.1', 'EF3.1', 'EF2.1', 'EF1.1', 'Y19.1', 'Y18.1', 'Y17.1', 'Y16.1', 'Y15.1', 'Y14.1', 'Y13.1', 'Y12.1', 'Y11.1', 'Y10.1', 'Y9.1', 'Y8.1', 'Y7.1', 'Y6.1', 'Y5.1', 'Y4.1', 'Y3.1', 'Y2.1', 'Y1.1']	1	74	0	0	74
40	Perucca1979	paracetamol	M K	M K, D E	3	12	[{'count': 12, 'name': 'all'}, {'count': 6, 'name': 'control'}, {'count': 6, 'name': 'epileptic'}]	0		2	68	44	6	74
33	Lau1994	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	M K	M K, D E	1	6	[{'count': 6, 'name': 'all'}]	6	['6', '5', '4', '3', '2', '1']	1	68	32	4	72
81	Glynn1973	paracetamol	J B	M K, J B	1	8	[{'count': 8, 'name': 'all'}]	0		4	64	64	8	72
93	Rashid1990	paracetamol, atropine	J B	M K, J B	3	12	[{'count': 12, 'name': 'all'}, {'count': 7, 'name': 'young'}, {'count': 5, 'name': 'elderly'}]	0		3	64	40	6	70
67	Clements1984	caffeine, paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol sulfate	M K	J B, M K	1	5	[{'count': 5, 'name': 'all'}]	0		5	66	32	4	70
102	Tokola1984	paracetamol	J B	M K, J B	1	9	[{'count': 9, 'name': 'all'}]	9	['subject9', 'subject8', 'subject7', 'subject6', 'subject5', 'subject4', 'subject3', 'subject2', 'subject1']	1	65	32	4	69
12	Briant1976	paracetamol	J B	J B, M K	7	56	[{'count': 56, 'name': 'all'}, {'count': 28, 'name': 'young'}, {'count': 14, 'name': 'young males'}, {'count': 14, 'name': 'young females'}, {'count': 28, 'name': 'elders'}, {'count': 14, 'name': 'elder males'}, {'count': 14, 'name': 'elder females'}]	57	['57.0', '56.0', '55.0', '54.0', '53.0', '52.0', '51.0', '50.0', '49.0', '48.0', '47.0', '46.0', '45.0', '44.0', '43.0', '42.0', '41.0', '40.0', '39.0', '38.0', '37.0', '36.0', '35.0', '34.0', '33.0', '32.0', '31.0', '30.0', '29.0', '28.0', '27.0', '26.0', '25.0', '24.0', '23.0', '22.0', '21.0', '20.0', '19.0', '18.0', '17.0', '16.0', '15.0', '14.0', '13.0', '12.0', '11.0', '10.0', '9.0', '8.0', '7.0', '6.0', '5.0', '4.0', '3.0', '2.0', '1.0']	1	69	0	0	69
31	Langford2016	paracetamol	J B	M K, J B	4	21	[{'count': 21, 'name': 'all'}, {'count': 7, 'name': '1gIV'}, {'count': 7, 'name': '1gPO'}, {'count': 7, 'name': '1.5gPO'}]	0		3	62	38	6	68
4	Farkas2007	grapefruit juice, pomegranate juice, midazolam	Y D	Y D, M K	1	13	[{'count': 13, 'name': 'all'}]	0		6	63	34	5	68
27	Itoh2001	paracetamol glucuronide, paracetamol sulfate, cisapride, paracetamol	J B	J B	1	5	[{'count': 5, 'name': 'all'}]	0		2	60	48	7	67
83	Miners1984	cimetidine, paracetamol, paracetamol glucuronide, paracetamol sulfate, sulfinpyrazone, paracetamol glutathione	J B	J B, M K	5	18	[{'count': 18, 'name': 'all'}, {'count': 12, 'name': 'control'}, {'count': 6, 'name': 'nonsmokers'}, {'count': 6, 'name': 'smokers'}, {'count': 6, 'name': 'epileptic patients'}]	0		4	66	0	0	66
65	Chiew2010	panadol extend, paracetamol glucuronide, paracetamol sulfate, paracetamol	M K	M K, D E, J G	1	9	[{'count': 9, 'name': 'all'}]	0		2	60	48	6	66
96	Richter1974	paracetamol	J B	J B, M K	1	8	[{'count': 8, 'name': 'all'}]	0		6	60	48	6	66
14	Borin1989	paracetamol	J B	J B	1	15	[{'count': 15, 'name': 'all'}]	15	['15', '14', '13', '12', '11', '10', '9', '8', '7', '6', '5', '4', '3', '2', '1']	5	60	30	5	65
60	Adithan1982	paracetamol	J B	M K, J B	1	10	[{'count': 10, 'name': 'all'}]	10	['volunteer10', 'volunteer9', 'volunteer8', 'volunteer7', 'volunteer6', 'volunteer5', 'volunteer4', 'volunteer3', 'volunteer2', 'volunteer1']	1	60	16	2	62
32	Levy1971	l-cysteine, salicylamide glucuronide, paracetamol, salicylamide, paracetamol glucuronide, paracetamol sulfate, salicylamide sulfate	J B	J B, M K	1	3	[{'count': 3, 'name': 'all'}]	3	['K', 'J', 'Y']	10	35	0	26	61
71	Davis1976	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	M K, J B	7	33	[{'count': 33, 'name': 'all'}, {'count': 30, 'name': 'patients'}, {'count': 9, 'name': 'minimal liver damage'}, {'count': 8, 'name': 'mild liver damage'}, {'count': 6, 'name': 'moderate liver damage'}, {'count': 7, 'name': 'liver failure'}, {'count': 3, 'name': 'volunteers'}]	30	['case30', 'case29', 'case28', 'case27', 'case26', 'case25', 'case24', 'case23', 'case22', 'case21', 'case20', 'case19', 'case18', 'case17', 'case16', 'case15', 'case14', 'case13', 'case12', 'case11', 'case10', 'case9', 'case8', 'case7', 'case6', 'case5', 'case4', 'case3', 'case2', 'case1']	35	58	0	0	58
61	Abernethy1982a	paracetamol	M K	M K, J B	3	16	[{'count': 16, 'name': 'all'}, {'count': 8, 'name': 'OC group'}, {'count': 8, 'name': 'control'}]	34	['Individual34', 'Individual33', 'Individual32', 'Individual31', 'Individual30', 'Individual29', 'Individual28', 'Individual27', 'Individual26', 'Individual25', 'Individual24', 'Individual23', 'Individual22', 'Individual21', 'Individual20', 'Individual19', 'Individual18', 'Individual17', 'Individual16', 'Individual15', 'Individual14', 'Individual13', 'Individual12', 'Individual11', 'Individual10', 'Individual9', 'Individual8', 'Individual7', 'Individual6', 'Individual5', 'Individual4', 'Individual3', 'Individual2', 'Individual1']	1	54	16	2	56
42	Nelson1963	paracetamol glucuronide, paracetamol cysteine, paracetamol	J B	M K, J B	1	5	[{'count': 5, 'name': 'all'}]	9	['S', 'G', 'T', 'V', 'E5', 'E4', 'E3', 'E2', 'E1']	1	36	0	18	54
73	Divoll1982	paracetamol	J B	J B, M K	7	28	[{'count': 28, 'name': 'all'}, {'count': 16, 'name': 'young subjects'}, {'count': 12, 'name': 'elderly subjects'}, {'count': 8, 'name': 'young women'}, {'count': 8, 'name': 'young men'}, {'count': 6, 'name': 'elderly women'}, {'count': 6, 'name': 'elderly men'}]	1	['elderly male volunteer']	3	50	20	3	53
44	Prescott1973	paracetamol glucuronide, paracetamol cysteine, paracetamol	J B	J B, M K	12	41	[{'count': 41, 'name': 'all'}, {'count': 23, 'name': 'liver damage'}, {'count': 18, 'name': 'no liver damage'}, {'count': 9, 'name': 'subset Fig1: no liver damage'}, {'count': 9, 'name': 'subset Fig1: liver damage'}, {'count': 9, 'name': 'subset Fig2: no liver damage'}, {'count': 8, 'name': 'subset Fig2: liver damage'}, {'count': 4, 'name': 'subset Fig3: no liver damage'}, {'count': 5, 'name': 'subset Fig3: liver damage'}, {'count': 4, 'name': 'subset Tab3: no liver damage'}, {'count': 4, 'name': 'subset Tab3: liver damage'}, {'count': 4, 'name': 'subset Tab3: liver damage and renal failure'}]	11	['patient11', 'patient10', 'patient9', 'patient8', 'patient7', 'patient6', 'patient5', 'patient4', 'patient3', 'patient2', 'patient1']	1	45	24	8	53
36	Kamali1992	paracetamol	J B	M K, J B	1	8	[{'count': 8, 'name': 'all'}]	0		2	48	32	4	52
95	Ray1985	lignocaine, paracetamol	J B	M K, J B	3	12	[{'count': 12, 'name': 'all'}, {'count': 7, 'name': 'patients'}, {'count': 5, 'name': 'control'}]	7	['patient7', 'patient6', 'patient5', 'patient4', 'patient3', 'patient2', 'patient1']	3	50	14	2	52
7	Greenblatt2003	grapefruit juice, midazolam	Y D	Y D	4	25	[{'count': 7, 'name': 'grp136'}, {'count': 9, 'name': 'grp135'}, {'count': 7, 'name': 'grp134'}, {'count': 25, 'name': 'all'}]	0		6	46	14	2	48
105	Wojcicki1979	paracetamol	J B	M K, J B	3	16	[{'count': 16, 'name': 'all'}, {'count': 8, 'name': 'males'}, {'count': 8, 'name': 'females'}]	0		3	42	24	3	45
99	Rawlins1977	paracetamol	M K	M K, D E, J G	1	6	[{'count': 6, 'name': 'all'}]	0		4	41	32	4	45
6	Pentikaeinen1989	midazolam	Y D	Y D	3	14	[{'count': 14, 'name': 'all'}, {'count': 7, 'name': 'control'}, {'count': 7, 'name': 'patients'}]	14	['p01', 'p02', 'p03', 'p04', 'p05', 'p06', 'p07', 'p08', 'p09', 'p10', 'p11', 'p12', 'p13', 'p14']	2	40	32	4	44
16	Berg2014	paracetamol	J B	M K, J B	3	36	[{'count': 36, 'name': 'all'}, {'count': 13, 'name': 'placebo'}, {'count': 23, 'name': 'teduglutide_4mg'}]	0		3	40	32	4	44
88	Malan1985	paracetamol	J B	J B, M K	1	6	[{'count': 6, 'name': 'all'}]	0		3	39	24	3	42
58	Veronese2003	grapefruit juice, [14C N-methyl] erythromycin, midazolam	Y D	Y D	3	24	[{'count': 24, 'name': 'all'}, {'count': 8, 'name': 'phase1'}, {'count': 16, 'name': 'phase2'}]	24	['p01', 'p02', 'p03', 'p04', 'p05', 'p06', 'p07', 'p08', 'p09', 'p10', 'p11', 'p12', 'p13', 'p14', 'p15', 'p16', 'p17', 'p18', 'p19', 'p20', 'p21', 'p22', 'p23', 'p24']	8	36	21	5	41
21	Iqbal1995	paracetamol, caffeine	J B	J B, M K	1	10	[{'count': 10, 'name': 'all'}]	0		2	34	14	2	36
26	Jack1985	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	M K	M K, J B	1	8	[{'count': 8, 'name': 'all'}]	0		7	36	0	0	36
15	Baraka1990	antipyrine, propanolol, paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	M K	M K, D E, J G	1	10	[{'count': 10, 'name': 'all'}]	0		3	32	14	2	34
34	Kamali1993	paracetamol glutathione, probenecid, paracetamol sulfate, paracetamol	J B	J B, M K	1	10	[{'count': 10, 'name': 'all'}]	0		2	32	14	2	34
90	Mitchell1983	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	M K, J B	3	14	[{'count': 14, 'name': 'all'}, {'count': 7, 'name': 'control'}, {'count': 7, 'name': 'OC'}]	0		1	32	16	2	34
85	Miners1983	paracetamol glucuronide, paracetamol sulfate, paracetamol glutathione, paracetamol	J B	J B, M K	4	24	[{'count': 24, 'name': 'all'}, {'count': 8, 'name': 'Males'}, {'count': 8, 'name': 'Females'}, {'count': 8, 'name': 'OCS-Females'}]	0		1	33	0	0	33
69	Depre1992	paracetamol, propacetamol	J B	J B	3	18	[{'count': 18, 'name': 'all'}, {'count': 12, 'name': 'study one'}, {'count': 6, 'name': 'study two'}]	0		4	30	14	2	32
24	Jensen2004	paracetamol glucuronide, paracetamol sulfate, paracetamol	M K	M K, D E, J G	1	6	[{'count': 6, 'name': 'all'}]	0		1	28	24	3	31
63	Albert1974	paracetamol	M K	M K, D E, J G	1	10	[{'count': 10, 'name': 'all'}]	0		2	26	16	2	28
51	Souliman2006	paracetamol	J B	J B, M K	1	8	[{'count': 8, 'name': 'all'}]	0		3	24	16	4	28
11	Bannwarth2001	paracetamol	J B	M K, J B	1	12	[{'count': 12, 'name': 'all'}]	0		2	26	16	2	28
78	Douglas1996	paracetamol	J B	M K, J B	1	14	[{'count': 14, 'name': 'all'}]	0		2	24	16	2	26
101	Tan2006	paracetamol	J B	J B, M K	2	10	[{'count': 10, 'name': 'all'}, {'count': 8, 'name': 'males'}]	0		2	24	16	2	26
18	Ameer1981	paracetamol	M K	M K, D E, J G	1	1	[{'count': 1, 'name': 'all'}]	1	['1']	2	24	16	2	26
97	Renner2007	paracetamol, caffeine	M K	M K	3	24	[{'count': 24, 'name': 'all'}, {'count': 12, 'name': 'men'}, {'count': 12, 'name': 'women'}]	0		2	22	14	2	24
98	Sanaka2000	paracetamol	J B	M K, J B	3	12	[{'count': 12, 'name': 'all'}, {'count': 5, 'name': 'experiment1'}, {'count': 7, 'name': 'experiment2'}]	0		2	22	16	2	24
38	Mucklow1980	antipyrine, paracetamol	J B	J B, M K	24	114	[{'count': 114, 'name': 'all'}, {'count': 43, 'name': 'males'}, {'count': 71, 'name': 'females'}, {'count': 76, 'name': 'caucasians'}, {'count': 38, 'name': 'asians'}, {'count': 34, 'name': 'caucasian males'}, {'count': 9, 'name': 'asian males'}, {'count': 42, 'name': 'caucasian females'}, {'count': 29, 'name': 'asian females'}, {'count': 51, 'name': '18-30'}, {'count': 28, 'name': '31-40'}, {'count': 24, 'name': '41-50'}, {'count': 11, 'name': '51-60'}, {'count': 50, 'name': 'no alcohol'}, {'count': 31, 'name': 'low alcohol'}, {'count': 11, 'name': 'medium alcohol'}, {'count': 17, 'name': 'high alcohol'}, {'count': 5, 'name': 'very high alcohol'}, {'count': 75, 'name': 'no smoking'}, {'count': 10, 'name': 'low smoking'}, {'count': 14, 'name': 'medium smoking'}, {'count': 15, 'name': 'high smoking'}, {'count': 14, 'name': 'on OC'}, {'count': 57, 'name': 'not on OC'}]	0		2	24	0	0	24
25	Gwilt1963	sorbitol, paracetamol	J B	J B, M K	3	74	[{'count': 74, 'name': 'all'}, {'count': 20, 'name': 'panel1'}, {'count': 54, 'name': 'panel4'}]	0		3	17	17	4	21
39	Osborne1991	paracetamol glucuronide, paracetamol sulfate, paracetamol glutathione, paracetamol	J B	J B, M K	3	24	[{'count': 24, 'name': 'all'}, {'count': 12, 'name': 'caucasian'}, {'count': 12, 'name': 'chinese'}]	0		1	20	0	0	20
107	Yin2001	paracetamol	J B	J B, M K	1	12	[{'count': 12, 'name': 'all'}]	0		1	15	8	1	16
79	Fulton1979	paracetamol	J B	M K, J B	3	23	[{'count': 23, 'name': 'all'}, {'count': 11, 'name': 'young'}, {'count': 12, 'name': 'elderly'}]	0		2	10	0	0	10
46	Somaja1987	paracetamol	J B	M K, J B	1	10	[{'count': 10, 'name': 'all'}]	0		6	10	0	0	10
72	Clements1976	paracetamol	J B	M K, J B	1	4	[{'count': 4, 'name': 'all'}]	4	['NW', 'KY', 'JN', 'LP']	1	8	0	0	8
8	Rogers1999	lovastatin, midazolam, grapefruit juice	Y D	Y D, M K	1	16	[{'count': 16, 'name': 'all'}]	0		3	8	0	0	8
45	Prescott1980		M K	M K, D E	0	0	[]	0		0	0	0	0	0
