	unit	allowed_users	tissue	measurement_type	access	raw_pk	interventions	substance	calculated	group_count	group_name	group_pk	mean	individual_name	individual_pk	value	timecourse_pk	time_unit	time	se	cv	sd	pharmacokinetics	figure	min	max	median	measurement_type_intervention	access_intervention	allowed_users_intervention	raw_pk_intervention	substance_intervention	application	route	unit_intervention	value_intervention	form	time_intervention	time_unit_intervention	choice	sd_intervention	max_intervention	min_intervention	study	subject_pk	subject_name	('general', 'group_pk')	('species', 'choice')	('species', 'count')	('sex', 'choice')	('sex', 'count')	('healthy', 'choice')	('healthy', 'count')	('age', 'count')	('age', 'max')	('age', 'mean')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('weight', 'count')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('medication', 'choice')	('medication', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('smoking', 'choice')	('smoking', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('height', 'count')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'unit')	('bmi', 'count')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'unit')	('gfr', 'count')	('gfr', 'mean')	('gfr', 'sd')	('gfr', 'unit')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('abstinence medication', 'count')	('abstinence medication', 'min')	('abstinence medication', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'median')	('body surface area', 'min')	('body surface area', 'unit')	('body surface area', 'value')	('concentration', 'count')	('concentration', 'min')	('concentration', 'substance')	('concentration', 'unit')	('concentration', 'value')	('disease', 'choice')	('disease', 'count')	('disease', 'unit')	('disease', 'value')	('liver function test', 'choice')	('liver function test', 'count')	('biochemistry (categorial)', 'choice')	('biochemistry (categorial)', 'count')	('biochemistry (categorial)', 'substance')	('abstinence alcohol', 'count')	('abstinence alcohol', 'min')	('abstinence alcohol', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('age (categorial)', 'choice')	('age (categorial)', 'count')	('clearance', 'count')	('clearance', 'max')	('clearance', 'min')	('clearance', 'substance')	('clearance', 'unit')	('clearance', 'value')	('fasting (duration)', 'count')	('fasting (duration)', 'min')	('fasting (duration)', 'unit')	('abstinence', 'count')	('abstinence', 'min')	('abstinence', 'substance')	('abstinence', 'unit')	('liver volume', 'count')	('liver volume', 'mean')	('liver volume', 'se')	('liver volume', 'unit')	('weight (categorial)', 'choice')	('weight (categorial)', 'count')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'min')	('obesity index', 'unit')	('pregnancy status', 'choice')	('pregnancy status', 'count')	('fasting', 'choice')	('fasting', 'count')	('kidney function test', 'choice')	('kidney function test', 'count')	('body position', 'choice')	('body position', 'count')	('amount', 'count')	('amount', 'substance')	('amount', 'unit')	('amount', 'value')
710	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	auc_inf	public	7206	322	paracetamol	True					elderly male volunteer	610.0	0.0415	494.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	319	paracetamol	single dose	oral	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
711	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	cmax	public	7208	322	paracetamol	True					elderly male volunteer	610.0	0.0176	494.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	319	paracetamol	single dose	oral	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
712	1 / minute	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	kel	public	7209	322	paracetamol	True					elderly male volunteer	610.0	0.0042	494.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	319	paracetamol	single dose	oral	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
713	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	auc_end	public	7205	322	paracetamol	True					elderly male volunteer	610.0	0.039	494.0	hr	12.0									dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	319	paracetamol	single dose	oral	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
714	liter / hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	clearance	public	7207	322	paracetamol	True					elderly male volunteer	610.0	15.3	494.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	319	paracetamol	single dose	oral	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
715	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	thalf	public	7210	322	paracetamol	True					elderly male volunteer	610.0	2.75	494.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	319	paracetamol	single dose	oral	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
716	liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	vd	public	7211	322	paracetamol	True					elderly male volunteer	610.0	60.5	494.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	319	paracetamol	single dose	oral	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
717	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	concentration	public	491	322	paracetamol						elderly male volunteer	610.0	['2.58e-03', '1.76e-02', '1.48e-02', '1.35e-02', '9.98e-03', '8.02e-03', '6.20e-03', '5.52e-03', '4.59e-03', '4.01e-03', '3.21e-03', '2.19e-03', '1.48e-03', '6.39e-04']		hr	['8.30e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '2.50e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.20e+01']				[{'pk': 7220}, {'pk': 7219}, {'pk': 7218}, {'pk': 7217}, {'pk': 7216}, {'pk': 7215}, {'pk': 7214}, {'pk': 7213}, {'pk': 7212}, {'pk': 7211}, {'pk': 7210}, {'pk': 7209}, {'pk': 7208}, {'pk': 7207}, {'pk': 7206}, {'pk': 7205}]	/media/data/Divoll1982_Fig1.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	319	paracetamol	single dose	oral	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
718	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	tmax	public	7226	320	paracetamol	True					elderly male volunteer	610.0	0.16699999999999998	495.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	317	paracetamol	single dose	iv	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
719	liter / hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	clearance	public	7221	320	paracetamol	True					elderly male volunteer	610.0	12.4	495.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	317	paracetamol	single dose	iv	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
720	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	thalf	public	7224	320	paracetamol	True					elderly male volunteer	610.0	2.61	495.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	317	paracetamol	single dose	iv	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
721	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	cmax	public	7222	320	paracetamol	True					elderly male volunteer	610.0	0.0393	495.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	317	paracetamol	single dose	iv	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
722	1 / minute	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	kel	public	7223	320	paracetamol	True					elderly male volunteer	610.0	0.00442	495.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	317	paracetamol	single dose	iv	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
723	liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	vd	public	7225	320	paracetamol	True					elderly male volunteer	610.0	46.9	495.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	317	paracetamol	single dose	iv	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
724	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	concentration	public	492	320	paracetamol						elderly male volunteer	610.0	[None, '3.93e-02', '1.79e-02', '1.17e-02', '9.04e-03', '8.74e-03', '7.47e-03', '6.89e-03', '5.70e-03', '4.64e-03', '3.89e-03', '2.45e-03', '1.61e-03', '8.16e-04']		hr	['8.30e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '2.50e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.20e+01']				[{'pk': 7232}, {'pk': 7231}, {'pk': 7230}, {'pk': 7229}, {'pk': 7228}, {'pk': 7227}, {'pk': 7226}, {'pk': 7225}, {'pk': 7224}, {'pk': 7223}, {'pk': 7222}, {'pk': 7221}]	/media/data/Divoll1982_Fig1.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	317	paracetamol	single dose	iv	gram	0.65	solution	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
725	liter / hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	clearance	public	7233	321	paracetamol	True					elderly male volunteer	610.0	17.1	496.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	318	paracetamol	single dose	oral	gram	0.65	tablet	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
726	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	thalf	public	7236	321	paracetamol	True					elderly male volunteer	610.0	3.1	496.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	318	paracetamol	single dose	oral	gram	0.65	tablet	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
727	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	tmax	public	7238	321	paracetamol	True					elderly male volunteer	610.0	0.5	496.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	318	paracetamol	single dose	oral	gram	0.65	tablet	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
728	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	cmax	public	7234	321	paracetamol	True					elderly male volunteer	610.0	0.0166	496.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	318	paracetamol	single dose	oral	gram	0.65	tablet	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
729	1 / minute	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	kel	public	7235	321	paracetamol	True					elderly male volunteer	610.0	0.00372	496.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	318	paracetamol	single dose	oral	gram	0.65	tablet	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
730	liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	vd	public	7237	321	paracetamol	True					elderly male volunteer	610.0	76.4	496.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	318	paracetamol	single dose	oral	gram	0.65	tablet	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
731	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	concentration	public	493	321	paracetamol						elderly male volunteer	610.0	[None, '2.36e-03', '5.53e-03', '1.66e-02', '1.18e-02', '8.45e-03', '6.70e-03', '5.43e-03', '4.97e-03', '4.64e-03', '3.83e-03', '2.15e-03', '1.37e-03', '5.38e-04']		hr	['8.30e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '2.50e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.20e+01']				[{'pk': 7244}, {'pk': 7243}, {'pk': 7242}, {'pk': 7241}, {'pk': 7240}, {'pk': 7239}, {'pk': 7238}, {'pk': 7237}, {'pk': 7236}, {'pk': 7235}, {'pk': 7234}, {'pk': 7233}]	/media/data/Divoll1982_Fig1.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	318	paracetamol	single dose	oral	gram	0.65	tablet	0.0	hr					Divoll1982	610	elderly male volunteer	128	homo sapiens	28	M	1	Y	12.0	6.0		70.7				yr		12.0	90.9			45.5			kilogram		('N', 'Y')	(9, 3)	Y	28.0																																																			elder	12.0																																			
732	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	auc_inf	public	1030	48	midazolam	False					RH	93.0	0.000397												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
733	liter	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	vd	public	1031	48	midazolam	False					RH	93.0	38.6												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
734	dimensionless	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	urine	recovery	public	1176	48	1-hydroxymidazolam	False					RH	93.0	0.77		hr	24.0									dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
735	gram / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	cmax	public	1343	48	midazolam	True					RH	93.0	0.000291	72.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
736	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	thalf	public	1029	48	midazolam	False					RH	93.0	1.6												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
737	gram	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	urine	cumulative amount	public	1175	48	1-hydroxymidazolam	False					RH	93.0	0.0063		hr	24.0									dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
738	liter / hour	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	clearance	public	1032	48	midazolam	False					RH	93.0	20.6												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
739	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	tmax	public	1344	48	midazolam	True					RH	93.0	0.0833	72.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
740	gram / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	cmax	public	1415	48	1-hydroxymidazolam	True					RH	93.0	2.3e-05	108.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
741	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	tmax	public	1416	48	1-hydroxymidazolam	True					RH	93.0	0.16699999999999998	108.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
742	gram / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	concentration	public	54	48	midazolam						RH	93.0	['2.91e-04', '2.40e-04', '2.26e-04', '1.72e-04', '1.42e-04', '1.19e-04', '8.30e-05', '5.50e-05', '3.50e-05', '2.40e-05', '1.60e-05', '9.00e-06', '4.00e-06', None, None]		hr	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']				[{'pk': 1346}, {'pk': 1345}, {'pk': 1344}, {'pk': 1343}]	/media/data/Heizmann1983_Tab1.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
743	gram / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	concentration	public	90	48	1-hydroxymidazolam						RH	93.0	['6.00e-06', '2.30e-05', '2.20e-05', '2.20e-05', '1.90e-05', '1.80e-05', '1.50e-05', '1.20e-05', '7.00e-06', '5.00e-06', '4.00e-06', None, None, None, None]		hr	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']				[{'pk': 1418}, {'pk': 1417}, {'pk': 1416}, {'pk': 1415}]	/media/data/Heizmann1983_Tab2.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	47	midazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
744	dimensionless	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	fraction_absorbed	public	1087	52	midazolam	False					RH	93.0	0.31												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	49	midazolam	single dose	oral	gram	0.01	tablet	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
745	gram / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	cmax	public	1347	52	midazolam	True					RH	93.0	8.2e-05	73.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	49	midazolam	single dose	oral	gram	0.01	tablet	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
746	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	tmax	public	1348	52	midazolam	True					RH	93.0	0.5	73.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	49	midazolam	single dose	oral	gram	0.01	tablet	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
747	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	tmax	public	1420	52	1-hydroxymidazolam	True					RH	93.0	0.5	109.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	49	midazolam	single dose	oral	gram	0.01	tablet	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
748	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	thalf	public	1085	52	midazolam	False					RH	93.0	1.5												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	49	midazolam	single dose	oral	gram	0.01	tablet	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
749	gram	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	urine	cumulative amount	public	1177	52	1-hydroxymidazolam	False					RH	93.0	0.0068		hr	24.0									dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	49	midazolam	single dose	oral	gram	0.01	tablet	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
750	dimensionless	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	urine	recovery	public	1178	52	1-hydroxymidazolam	False					RH	93.0	0.68		hr	24.0									dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	49	midazolam	single dose	oral	gram	0.01	tablet	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
751	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	plasma	auc_inf	public	1086	52	midazolam	False					RH	93.0	0.00014099999999999998												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}, {'username': 'janekg'}]	49	midazolam	single dose	oral	gram	0.01	tablet	0.0	hr					Heizmann1983	93	RH	17	homo sapiens	6			Y	6.0	6.0	27.0		22.0			yr		1.0							kilogram	54.7			Y	6.0																							6	1.40e+01	day																								N	6.0																																					
